ID_CLIENTE,DATA_CADASTRO,DDD,FLAG_PF,SEGMENTO_INDUSTRIAL,DOMINIO_EMAIL,PORTE,CEP_2_DIG
1661240395903230676,2013-08-22,Nordeste,0,Serviços,YAHOO,PEQUENO,Nordeste
8274986328479596038,2017-01-25,Sudeste,0,Comércio,YAHOO,MEDIO,Norte
345447888460137901,2000-08-15,Nordeste,0,Serviços,HOTMAIL,PEQUENO,Nordeste
1003144834589372198,2017-08-06,Sul,0,Serviços,OUTLOOK,PEQUENO,Sul
324916756972236008,2011-02-14,Nordeste,0,Serviços,GMAIL,GRANDE,Nordeste
4679462479444735708,2000-08-15,Sudeste,0,Indústria,HOTMAIL,GRANDE,Sudeste
1276604410881911401,2000-08-15,Centro-Oeste,0,Indústria,YAHOO,PEQUENO,Sudeste
8123515208041701633,2011-02-14,Sudeste,0,Serviços,GMAIL,PEQUENO,Sudeste
4530631557358349711,2000-08-15,Sudeste,0,Serviços,HOTMAIL,PEQUENO,Nordeste
3668905663669864663,2011-02-14,Sul,0,Comércio,BOL,GRANDE,Sul
7041489327620930099,2018-03-27,Unknown,0,Serviços,HOTMAIL,GRANDE,Sudeste
3118152790263512426,2000-08-15,Sudeste,0,Unknown,OUTLOOK,MEDIO,Sudeste
1366416810235233769,2000-08-15,Sudeste,0,Comércio,YAHOO,GRANDE,Sudeste
4395946187332973749,2000-08-15,Sudeste,0,Serviços,GMAIL,MEDIO,Sudeste
1299146298565441811,2000-08-15,Sudeste,0,Serviços,HOTMAIL,MEDIO,Sudeste
4052557282157719526,2009-08-30,Sudeste,0,Comércio,GMAIL,MEDIO,Sudeste
6795467882769787169,2014-06-23,Sudeste,0,Serviços,HOTMAIL,PEQUENO,Sul
2550506309527280168,2000-08-15,Sudeste,0,Comércio,GMAIL,MEDIO,Sudeste
8724731934863284019,2000-08-15,Nordeste,0,Serviços,HOTMAIL,PEQUENO,Nordeste
314309872114206760,2011-02-14,Sul,0,Unknown,YAHOO,GRANDE,Sul
2250817603281429928,2001-05-31,Sul,0,Comércio,YAHOO,GRANDE,Sul
5301988619224057921,2016-02-24,Centro-Oeste,0,Indústria,GMAIL,Unknown,Centro-Oeste
3248432590399829766,2000-08-15,Sudeste,0,Comércio,YAHOO,MEDIO,Sudeste
4095739077267179172,2011-02-14,Sudeste,0,Comércio,YAHOO,PEQUENO,Sudeste
2092588065958607289,2006-07-18,Centro-Oeste,0,Comércio,YAHOO,GRANDE,Centro-Oeste
1078687383992817574,2000-08-15,Sul,0,Indústria,OUTLOOK,GRANDE,Norte
4717593620120611957,2016-08-14,Unknown,0,Comércio,YAHOO,GRANDE,Centro-Oeste
7970976988071755401,2006-09-11,Norte,0,Comércio,YAHOO,GRANDE,Norte
1683619849073499603,2000-08-15,Sudeste,0,Comércio,AOL,GRANDE,Sudeste
8784237149961904,2011-02-14,Sudeste,0,Comércio,HOTMAIL,PEQUENO,Sudeste
6926309382371178621,2012-05-29,Sudeste,0,Serviços,HOTMAIL,GRANDE,Sudeste
5753677550753111444,2014-03-02,Sul,0,Serviços,Unknown,GRANDE,Sul
4524147234488547993,2017-03-09,Centro-Oeste,0,Comércio,HOTMAIL,GRANDE,Centro-Oeste
4347826483121154490,2000-08-15,Sudeste,0,Indústria,YAHOO,MEDIO,Sudeste
6100972975033180377,2015-11-23,Sul,0,Comércio,YAHOO,GRANDE,Sul
4334472256949955221,2012-03-11,Sul,0,Serviços,YAHOO,GRANDE,Sul
2619109825960703851,2003-06-03,Sudeste,0,Serviços,HOTMAIL,GRANDE,Sudeste
2397171153213063761,2016-11-29,Centro-Oeste,0,Indústria,YAHOO,MEDIO,Centro-Oeste
683445437387317282,2011-02-14,Sudeste,0,Indústria,YAHOO,GRANDE,Sudeste
192916471960784723,2017-08-09,Unknown,0,Comércio,Unknown,PEQUENO,Sudeste
2634859679238614382,2000-08-15,Sudeste,0,Comércio,YAHOO,GRANDE,Sudeste
940214356651040716,2013-07-29,Nordeste,0,Indústria,GMAIL,GRANDE,Nordeste
1192891347324061812,2000-08-15,Sudeste,0,Serviços,HOTMAIL,MEDIO,Sudeste
8901696535927078963,2011-02-14,Nordeste,0,Serviços,GMAIL,GRANDE,Nordeste
3022528659032597047,2011-02-14,Sudeste,0,Serviços,AOL,MEDIO,Sudeste
7810315632865163836,2015-11-25,Norte,0,Indústria,YAHOO,MEDIO,Norte
6964108750473070287,2000-08-15,Nordeste,0,Comércio,YAHOO,MEDIO,Nordeste
7818340804682162328,2011-02-14,Sudeste,0,Unknown,HOTMAIL,MEDIO,Sudeste
7671566034617837932,2011-02-14,Centro-Oeste,0,Serviços,YAHOO,GRANDE,Norte
3192341047315717823,2002-01-24,Sudeste,0,Serviços,HOTMAIL,MEDIO,Sudeste
162896151509189921,2017-10-19,Unknown,0,Serviços,HOTMAIL,MEDIO,Norte
8729164666041467296,2014-03-13,Nordeste,0,Serviços,GMAIL,Unknown,Nordeste
2645324649046215594,2011-02-14,Sudeste,0,Serviços,YAHOO,MEDIO,Sudeste
382095722273502031,2011-02-14,Sudeste,0,Indústria,YAHOO,PEQUENO,Nordeste
4795152981525833467,2011-02-14,Sudeste,0,Comércio,YAHOO,GRANDE,Sudeste
2025898153078562640,2007-06-17,Unknown,0,Serviços,GMAIL,PEQUENO,Sudeste
2451708306555441014,2000-08-15,Sul,0,Comércio,YAHOO,MEDIO,Sul
4465150716052427320,2011-02-15,Sudeste,0,Comércio,HOTMAIL,GRANDE,Sudeste
2088532321693492263,2012-08-27,Sudeste,0,Serviços,GMAIL,MEDIO,Sudeste
2530707686830644666,2011-02-14,Sudeste,0,Serviços,HOTMAIL,GRANDE,Sudeste
459290606780222306,2014-08-14,Sul,0,Comércio,YAHOO,PEQUENO,Sul
4061297388883391410,2012-03-11,Sul,0,Serviços,YAHOO,GRANDE,Sul
8961924617442201922,2011-02-14,Sudeste,0,Serviços,GMAIL,MEDIO,Sudeste
4661684997487171886,2015-03-02,Sudeste,0,Indústria,YAHOO,GRANDE,Sudeste
1104269683367198574,2000-08-15,Sudeste,0,Serviços,AOL,PEQUENO,Sudeste
5761480994209806499,2015-12-29,Unknown,0,Comércio,YAHOO,Unknown,Sudeste
4556737702757145073,2011-02-14,Sudeste,0,Serviços,GMAIL,PEQUENO,Nordeste
1368430815953333691,2015-09-14,Sul,0,Indústria,YAHOO,GRANDE,Sul
8915958534285799867,2005-11-24,Sudeste,0,Comércio,AOL,GRANDE,Norte
835441927760881602,2014-08-07,Centro-Oeste,0,Comércio,HOTMAIL,GRANDE,Norte
3218792504195936313,2000-08-15,Unknown,0,Serviços,HOTMAIL,MEDIO,Sudeste
5477900120643078645,2012-12-13,Nordeste,0,Comércio,YAHOO,PEQUENO,Nordeste
3095686599956852697,2015-12-08,Sul,0,Comércio,BOL,MEDIO,Sul
8348574220426911086,2011-02-14,Sudeste,0,Comércio,AOL,PEQUENO,Sudeste
1357573192598249600,2011-02-14,Sudeste,0,Comércio,YAHOO,MEDIO,Sudeste
5522764880180045081,2011-02-14,Sudeste,0,Indústria,BOL,MEDIO,Sudeste
4043546053926060305,2007-02-05,Sudeste,0,Indústria,GMAIL,MEDIO,Sudeste
8512214463586144353,2011-02-14,Sudeste,0,Serviços,OUTLOOK,PEQUENO,Sudeste
837142477962609471,2011-12-22,Sul,0,Serviços,GMAIL,MEDIO,Sul
410843023337872279,2011-02-14,Sudeste,0,Comércio,HOTMAIL,MEDIO,Sudeste
8646472172649019955,2000-08-15,Nordeste,0,Serviços,HOTMAIL,MEDIO,Nordeste
351031887141663937,2015-02-27,Unknown,0,Indústria,GMAIL,GRANDE,Norte
4414438591613884911,2011-02-14,Sudeste,0,Comércio,YAHOO,GRANDE,Sudeste
692350198401528327,2016-10-30,Nordeste,0,Comércio,HOTMAIL,GRANDE,Nordeste
4569866309119931805,2008-06-03,Sudeste,0,Serviços,YAHOO,GRANDE,Sudeste
5999145415800242177,2011-02-14,Sudeste,0,Serviços,YAHOO,GRANDE,Sudeste
7930925883736021864,2014-03-02,Unknown,0,Serviços,YAHOO,GRANDE,Sul
2678966409665050034,2011-02-14,Sudeste,0,Serviços,AOL,MEDIO,Sudeste
4593070249039532001,2000-08-15,Sudeste,0,Comércio,GMAIL,PEQUENO,Sul
7910340581026492945,2000-08-15,Unknown,0,Comércio,YAHOO,GRANDE,Nordeste
5503391736465275980,2007-07-31,Norte,0,Serviços,HOTMAIL,PEQUENO,Norte
6828316696355015040,2009-08-18,Sudeste,0,Comércio,GMAIL,PEQUENO,Sudeste
5854364934896993687,2014-07-22,Nordeste,0,Serviços,YAHOO,PEQUENO,Nordeste
959720947754650706,2017-08-06,Unknown,0,Indústria,YAHOO,MEDIO,Sul
7485107528960607346,2010-08-04,Unknown,0,Comércio,YAHOO,GRANDE,Sudeste
510795635145114083,2009-03-30,Norte,0,Comércio,HOTMAIL,PEQUENO,Norte
6784879562354696650,2000-08-15,Sul,0,Unknown,YAHOO,MEDIO,Sul
984915269987074754,2011-02-14,Sudeste,0,Serviços,Unknown,GRANDE,Sudeste
499242942549937267,2007-10-17,Sudeste,0,Serviços,AOL,GRANDE,Sudeste
6731795019313479942,2000-08-15,Sul,0,Comércio,GMAIL,GRANDE,Sul
3829967475074118757,2007-03-19,Unknown,0,Serviços,YAHOO,GRANDE,Nordeste
252206310123393284,2013-10-21,Sul,0,Serviços,YAHOO,PEQUENO,Sul
4817816966382229074,2012-03-11,Sul,0,Indústria,GMAIL,MEDIO,Sul
6545052034269841737,2016-10-04,Centro-Oeste,0,Indústria,YAHOO,MEDIO,Centro-Oeste
107343823625119033,2000-08-15,Sudeste,0,Indústria,YAHOO,PEQUENO,Sul
