ID_CLIENTE,SAFRA_REF,INADIMPLENTE
5058298901476893676,2021-07-01,0.02
274692171162531764,2021-07-01,0.02
274692171162531764,2021-07-01,0.02
274692171162531764,2021-07-01,0.06
465309249432033993,2021-07-01,0.01
465309249432033993,2021-07-01,0.05
465309249432033993,2021-07-01,0.06
465309249432033993,2021-07-01,0.05
5883155883105348987,2021-07-01,0.06125
5883155883105348987,2021-07-01,0.09125
4489904752023469353,2021-07-01,0.12
3355881107559250653,2021-07-01,0.07
3355881107559250653,2021-07-01,0.06
3355881107559250653,2021-07-01,0.09
3355881107559250653,2021-07-01,0.07181818181818182
3355881107559250653,2021-07-01,0.05181818181818182
3355881107559250653,2021-07-01,0.05181818181818182
3355881107559250653,2021-07-01,0.05181818181818182
6330043096034525408,2021-07-01,0.26121666666666665
6330043096034525408,2021-07-01,0.11445990990990992
6964108750473070287,2021-07-01,0.03
6964108750473070287,2021-07-01,0.02
6964108750473070287,2021-07-01,0.02
6964108750473070287,2021-07-01,0.03
6964108750473070287,2021-07-01,0.03
6964108750473070287,2021-07-01,0.02
6964108750473070287,2021-07-01,0.02
6964108750473070287,2021-07-01,0.03
6964108750473070287,2021-07-01,0.02
6964108750473070287,2021-07-01,0.03
6964108750473070287,2021-07-01,0.02
6964108750473070287,2021-07-01,0.02
6964108750473070287,2021-07-01,0.02
6964108750473070287,2021-07-01,0.02
6964108750473070287,2021-07-01,0.02
6964108750473070287,2021-07-01,0.02
4008627434689715639,2021-07-01,0.33214285714285713
4008627434689715639,2021-07-01,0.3516204690831557
4008627434689715639,2021-07-01,0.22
5757271354816214865,2021-07-01,0.28
5757271354816214865,2021-07-01,0.62
5757271354816214865,2021-07-01,0.33
5757271354816214865,2021-07-01,0.3
5757271354816214865,2021-07-01,0.31
5757271354816214865,2021-07-01,0.37
5757271354816214865,2021-07-01,0.25
5757271354816214865,2021-07-01,0.3
5757271354816214865,2021-07-01,0.38
5757271354816214865,2021-07-01,0.34
5757271354816214865,2021-07-01,0.3
5757271354816214865,2021-07-01,0.64
5757271354816214865,2021-07-01,0.3
5757271354816214865,2021-07-01,0.41
5757271354816214865,2021-07-01,0.42
8909740532547211288,2021-07-01,0.0
